 MASS_RT,2,5,8,12,15,19,21,23,25,27,28,30,32,33,34,35,36,39,40,42,43,44,46,47,48,49,50,53,54,56,57,60,62,64,65,67,68,70,71, C12A, C15B, C19B, C21B, C23A, C25B, C27A, C28A, C2A, C30B, C32B, C33A, C34B, C35B, C36A, C39A, C40B, C42A, C43A, C44B, C46B, C47A, C48A, C49A, C50B, C53A, C54A, C56B, C57A, C5A, C60A, C62B, C64B, C65A, C67B, C68A, C70A, C71B, C8A
Factors,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014.6391_19.2,14274,16772,19467,16876,24975,15809,25926,15024,14795,13937,17556,20163,28800,14174,17961,13641,20560,13572,15422,6216,19682,20151,21513,12442,21638,12442,17444,20050,14584,15968,19848,20268,21502,3775,18983,19698,17546,18861,18134,19992,18243,25756,24382,8960,16075,21720,16440,20020,2795,16780,11132,11403,24780,23624,11893,16256,13427,9441,13930,15143,21797,18288,5402,14742,17475,2006,20759,17902,21232,22306,24159,23668,24860,17537,16612,29449,23618,18557
102.0461_0.94,316320,235965,210644,239553,511854,295684,240802,342139,195785,213910,292385,212354,594235,185388,193138,353062,269893,314496,378559,165256,359970,240777,441274,185702,382412,172724,410026,234815,431940,388099,229239,297906,255673,92409,219557,270112,347029,320228,235391,420282,381716,244477,489389,188112,473640,558519,276465,348464,76957,348172,187900,246328,253710,368225,127260,426464,433631,120771,215965,491250,276260,248516,107508,384598,283295,69669,207039,205556,393501,249518,363560,241916,161293,194095,454655,530845,215444,288885
1020.7329_29.96,4516,17986,21642,29039,10877,3738,23787,19796,12841,2386,33377,4369,4453,4538,4458,3639,3557,3600,2678,2931,4485,20553,9791,20819,2680,4227,3746,121861,3944,3327,4569,3108,18824,4541,4032,38808,100873,20518,3297,3001,13672,4291,6204,2394,3101,2121,4723,3918,4072,3653,3007,2442,4745,3303,4643,4728,3501,4501,20897,7066,2681,20004,14035,2276,49801,3151,144561,3163,3629,3916,11317,2353,3475,2666,38099,67301,4455,26661
1026.743_24.96,2945,18664,17461,18318,9677,3733,18246,14761,12599,20663,23869,8285,18331,5962,3420,7690,4713,1712,4129,1867,4379,21453,9127,14999,10325,4328,2719,114043,7081,6991,3691,5172,20582,2929,7083,38762,98976,19811,86741,26538,11212,4537,3984,2743,9540,3670,3285,2714,4010,3819,11086,2604,5444,2209,8616,3318,2893,2613,15267,6978,2954,15476,12955,4087,34545,1923,99031,5033,2757,4427,13954,74728,6603,23667,31766,61017,22146,23531
1028.6159_19.2,18558,24229,24764,20935,27443,16316,29704,14848,19682,16385,26173,23093,27927,18431,23717,17732,20461,16768,17136,6335,17351,21207,21740,12719,25330,15482,18129,25894,14966,17012,24853,22625,24791,4353,22037,25244,20457,22907,24222,23192,18221,28118,28328,10712,20820,25703,20784,23504,8984,19849,13434,12078,24249,28286,18078,18203,17736,9687,16695,19984,23182,16934,8864,17486,19315,2336,21488,20012,20830,24971,26025,23844,24492,20677,18060,31321,23483,23476
1034.6116_1.02,4198,1877,4423,3100,2279,2410,4356,4549,2481,2095,1838,4524,2162,2080,3928,1753,2453,17167,4780,7733,2148,3148,2256,4275,3792,14377,5847,9416,4792,4252,3693,5186,3378,6617,8239,1577,5042,2800,1591,2730,1918,3599,2875,2905,3368,3243,1537,4480,3737,2765,2852,3114,3804,3056,4125,11571,11554,4610,14416,2890,2835,5040,2528,31144,4979,3025,11085,5100,3920,2561,4350,2901,5375,2951,2987,5374,3155,4676
1043.5805_19.2,149677,209886,221693,171854,219430,161321,261080,135911,187999,154533,213257,226971,229946,147990,210223,199187,180829,149892,154374,64257,125275,201922,173579,117017,196192,149479,162210,214529,116724,173564,232770,198207,211953,38132,196472,208037,170582,206701,205295,181256,146731,214454,213993,100802,186606,194796,197737,189205,24737,183105,126884,111572,209236,240091,140212,162982,175555,77664,155590,173962,185211,158074,82473,155804,183796,27050,180667,170822,184099,209613,242558,202666,220392,191446,157424,294286,239959,207317
1043.5815_18.42,12523,23648,28011,17408,25666,14260,38268,9981,19177,14068,25785,26521,18364,12781,23675,18383,19277,14294,12386,2295,8017,21641,16242,8199,18018,11116,13496,23886,7852,15537,26958,20838,24170,10566,20403,27290,15096,24774,26415,14440,12050,24194,22642,6895,14311,17022,22555,17723,6901,21220,9242,8276,26261,22246,13026,11736,14465,4790,13777,11605,18110,14896,3444,13337,20131,6343,20211,16704,20152,22208,22174,23447,28088,19137,13221,46342,32770,18860
1046.5904_19.2,48566,70013,72444,61443,78598,52448,91711,46694,63545,52023,71178,73192,79583,47235,67121,63635,61640,51046,51594,18078,54668,67413,62058,40658,70088,48527,58296,72932,41244,56754,70143,73741,73055,12055,63696,68573,60760,66993,68385,63872,51811,79963,73880,31479,62488,71477,61691,69899,6398,58347,38964,37301,72060,85875,46590,53209,57211,27715,53072,63868,61131,49731,25187,50937,63628,9373,60533,59374,61910,70765,80456,68800,73874,64816,54683,101507,75356,66429
1052.7966_35.63,166061,153841,193904,212831,174309,234907,220839,222675,235539,197095,175075,136549,216929,254991,220850,196074,222541,153385,207685,181836,193024,144004,175837,214206,206521,174380,177809,233658,197101,181423,143237,254334,233726,240268,210389,149346,182364,236192,148533,229037,196863,220958,156151,192669,262295,242493,132023,266882,182251,155633,160727,178706,222147,256683,154757,194879,176286,235811,100456,233501,195009,245681,145219,155888,187470,191306,200200,210763,152613,213351,297392,223995,192999,132283,210031,168129,108342,194566
1091.6718_1.02,16199,6015,10601,5858,3932,2684,6425,9690,6545,5083,5708,2904,8361,3024,2520,2140,6258,61912,24142,18462,3490,11654,9608,15761,9345,55155,13911,32798,13452,6997,11582,14568,5736,5555,18831,9593,18300,8780,17983,2964,3133,4184,5064,3635,3393,7835,3168,7277,9284,4070,1940,5827,6222,4880,9967,43003,49601,5753,35980,2883,15464,12423,3336,117567,13956,7852,39749,19183,5969,5607,13318,7168,11156,5217,6374,26405,5449,15842
1095.6113_20.17,41172,39267,47231,32196,48799,20037,109388,11941,30153,21096,57261,57813,35336,14753,44243,39888,35669,25531,25482,7337,47195,69509,34625,20455,66634,31119,32803,42917,18945,26667,65600,51004,32592,21200,30446,60213,31735,68730,37572,30110,43423,76860,48614,10510,21920,63946,16984,27610,1606,44971,15901,15658,58970,26938,42830,52689,21973,8866,24391,51409,39579,36988,5095,27447,11997,1573,28807,21676,57501,33521,33023,58193,62002,31998,24724,72442,70950,39740
1096.8222_36.35,79338,74872,81386,93976,100985,93658,79488,110555,80770,91859,88195,77115,106730,97104,93866,87054,101735,83986,94395,99349,98749,80776,103896,90591,101579,82252,110477,95398,103684,89125,88055,96554,91382,79856,100095,72339,108744,85303,74736,109840,99407,91418,101461,76336,57560,70932,85146,64237,66273,85484,88604,83709,94673,51267,67902,100572,91989,83664,81460,75309,92871,88343,82529,87012,90667,79416,75648,74958,84726,77283,113607,80713,70064,80613,106385,81405,75014,71714
1096.8225_35.55,270200,252678,275028,311678,278072,325116,274369,344953,289938,315210,293695,252019,321753,343309,318829,284344,334162,278587,304339,286314,285071,264562,278279,301567,304664,276715,306678,324326,326768,286034,274646,322021,302026,319688,332724,253135,289131,326264,267191,350125,289605,299261,296229,285836,310721,306654,290660,335178,253399,286431,305984,283898,322232,296441,261431,320672,306580,300782,259406,296591,320750,325769,273607,300891,308092,301293,279336,277580,280753,288901,408633,297542,271086,269088,323833,293256,260607,307279
1099.6432_23.41,33733,69292,116332,54524,64144,46984,76407,43229,80621,41136,56368,86924,77687,34822,87777,39068,59620,31790,32738,3940,34615,72276,49212,29495,33366,54848,29507,84970,22524,58418,70774,56039,67970,3608,61337,81034,49742,77617,67257,56699,39576,88118,49518,22534,39708,82331,64888,46379,2177,51697,32133,19739,83426,69788,29988,23725,50915,13086,34677,33531,39153,39966,11124,26314,37792,3656,46963,41719,59360,58213,53296,81505,80652,77397,21306,122358,79709,54808
1108.7854_29.72,5604,15273,17313,25359,8398,4417,21733,14374,10675,4341,26774,6902,7338,5463,4309,3795,5573,4616,1972,3014,3417,17196,8659,16273,6448,3922,2869,90603,2896,4773,4361,3929,16972,4854,7067,31370,75847,17195,4924,4818,12286,5801,6127,2949,3039,5469,5424,3934,4888,3469,3605,4110,4682,5054,5225,3630,5565,5817,16515,7027,3327,15470,11915,3844,35552,4167,104817,3852,3810,4526,11405,3763,5021,5664,31753,59209,4590,19015
1112.6808_1.02,13138,4735,6455,6756,7234,6284,14377,10844,5862,6313,8223,2327,7490,7257,1830,24379,6036,47461,22658,17550,3655,9468,8898,16332,9677,45941,15036,27562,15314,10434,10430,13806,6577,7999,16989,7451,17095,4084,14177,4496,4906,11767,6863,2947,6623,12001,22985,7937,7655,3515,1662,6494,6948,5689,10896,36954,33338,4766,18764,6801,13943,15997,8329,90809,13898,7707,28778,17290,6253,5890,13490,11548,7403,5641,8355,22457,6440,12806
113.0591_0.69,262589,249257,231296,202745,307075,202937,242613,221349,247111,265672,284610,200766,518761,193185,221872,234861,177881,220332,186383,124688,508068,177079,299029,209108,378718,146170,289454,322521,163220,210202,240133,346644,360597,88819,204892,217249,264163,220491,232136,211612,197956,147064,262072,176492,209312,289683,198018,217888,54122,250751,136948,291748,209665,237816,234516,205077,327260,152307,228879,327570,295639,196044,111495,349126,414246,63834,140443,388227,185853,325387,264173,198634,310073,173496,300507,251625,196482,169075
1139.5752_17.69,11822,20026,20346,23291,26851,11308,33679,24610,18552,13171,28161,18115,28623,14301,16661,16996,21660,16202,20166,13753,17484,21838,19114,13961,18436,14707,22940,32791,16835,17112,18504,22075,26506,14733,13111,21243,23427,22222,15497,18950,19903,31324,17021,11858,22312,28709,12713,16898,9401,16742,10346,8022,23619,26826,10594,23412,18689,7512,11469,18742,13331,17917,9709,17617,16080,9474,15770,18837,17967,27575,18634,22472,24868,20848,19724,23143,24572,21696
1140.8505_35.41,251121,240195,255610,311736,291166,290593,265622,332410,277730,286962,268340,226253,311036,343521,312886,270463,325227,242704,285743,274076,277393,241246,296153,281389,306002,251310,321257,301001,325376,275217,254684,307484,293848,306983,311072,228655,308494,318102,235057,342837,298724,295317,302985,255505,286859,294578,266564,310048,236010,266185,297063,271555,317483,281611,234286,313641,292471,291915,243859,298059,325316,311289,251174,271027,295313,270749,263001,260273,261489,261325,408610,277424,250762,248515,337334,275165,234647,281664
1140.8581_35.83,50971,53573,50906,56164,74757,65926,46821,69913,57840,67921,54139,55281,73145,53910,61414,55723,72738,58756,65086,62798,70737,49522,71550,58590,63651,50278,80650,58490,71339,58504,58613,58228,54216,56087,54994,38242,71346,55886,44881,74540,66851,59563,74618,50602,49745,56061,55282,54790,40480,53469,56980,55190,59943,52811,48258,72250,61948,44479,50820,55080,63229,60361,61362,50277,64245,49868,41688,51873,46690,47259,88438,48975,58021,58234,78812,65747,54125,56452
115.0628_0.7,245510,162175,114935,100354,423573,194119,166668,161703,105126,114518,159391,109647,288522,99434,95524,276262,130637,134604,135386,174883,298619,80009,180206,112816,200725,131990,203277,149502,145317,159348,126219,153135,136986,133806,99458,153230,202849,140011,121274,165562,195677,154915,273842,143830,198413,199163,128739,149496,81429,151785,101506,141860,162517,175359,105585,176207,248608,93643,104672,406779,188965,138762,188560,204389,209479,77613,102165,133491,159113,139355,236558,108400,161067,127981,190392,170157,102295,102534
117.0791_0.7,726511,584375,691186,365020,971979,387153,1133868,594467,754350,768813,958817,677121,775076,434169,712072,660769,618665,930795,605097,313770,980916,1016930,863368,579724,667446,1500555,812233,612506,436239,568725,567510,814057,643806,290782,368268,719526,1073739,1165400,855447,845231,915116,1046717,1454635,943135,1109494,1835564,1023981,891046,338372,847973,618750,747765,486568,927599,741377,924093,729620,1160308,552738,1168957,680742,848623,303102,564885,565152,367374,947386,520686,672596,765308,833578,678810,448295,569089,489731,704471,870069,606925
1172.7047_1.04,26949,12447,8805,4646,1507,3627,4964,10806,5511,11414,10772,22091,2221,5960,2365,29189,2505,53625,31411,14966,8329,11747,2712,19204,8958,56108,17171,39244,17801,14869,16682,12896,5194,7365,28075,10699,17533,8926,21940,12431,6595,4699,1848,6601,1769,7227,4311,2064,7770,5279,1737,8899,5444,3592,17276,34745,47774,7158,19426,3889,16629,15193,3392,108600,14833,9409,37727,20534,9271,7277,8489,7911,11288,6208,6461,26097,6403,13697
