 MASS_RT,2,5,12,15,19,21,23,25,27,28,30,32,33,34,35,36,39,40,43,44,46,47,48,49,50,53,54,56,57,60,62,64,65,68,70,71, C12A, C15B, C19B, C21B, C23A, C25B, C27A, C28A, C2A, C30B, C32B, C33A, C34B, C35B, C36A, C39A, C40B, C42A, C43A, C44B, C46B, C47A, C48A, C50B, C53A, C56B, C57A, C5A, C60A, C62B, C64B, C65A, C67B, C68A, C70A, C71B, C8A,,,,,
Factors,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113.9932_0.61,852261,810515,852061,820323,998739,752165,842153,1015185,911550,782746,814715,822151,1153693,871404,1001172,984629,1056906,760879,920656,873920,887136,812705,747893,888464,907772,919013,798093,1028699,878306,883100,834965,796217,928106,864605,846680,877180,956491,859448,852647,868499,917452,862084,958552,933037,924302,817606,1032768,918344,902189,809708,866694,863466,922535,905370,1115805,897868,816095,868571,981874,931140,1048106,881328,904694,907363,920165,981133,826115,751241,878436,842012,873863,904417,795571,,,,,
113.9932_36.1,619947,1099262,950964,1015968,680893,1355908,805397,804762,752804,882489,1041502,907976,942510,632472,767819,704861,873065,756825,437845,734633,669343,597183,651755,722883,831077,709071,966154,701611,899704,647528,928104,944344,813035,682077,682677,982128,560480,1011673,655854,793278,1022743,934168,888690,845657,790075,529990,799526,487138,768066,902905,866838,1198274,1134683,918714,522908,785716,473030,649413,1077827,923841,922025,806502,1004756,1109064,917883,953356,656407,824911,799465,678423,751161,853201,723619,,,,,
118.0627_1.04,47938,69501,48818,65381,33761,136982,37187,44793,50669,48326,49961,50115,21388,35330,29574,36370,64992,42043,24061,40786,56471,50147,70057,45420,119794,46557,34538,43278,30623,78777,55028,43138,29634,61786,59859,51025,36632,40276,29740,45373,44540,57015,47886,48725,46635,17449,119960,69097,93262,30803,41104,45233,102371,109890,17338,26599,228707,51458,65101,153266,69254,37459,74450,22801,83654,57410,43852,60211,21229,76773,26914,32085,35531,,,,,
126.0678_1.02,94364,59828,64250,52179,50255,66898,59397,39961,69267,86231,58031,60562,162013,57768,47441,51243,71194,57531,50621,50269,102273,50684,70674,71802,93045,76139,66361,89746,75935,57605,110203,55861,45155,32401,78531,82446,51980,49462,67322,52745,64475,61216,72307,51798,65107,47795,62563,82824,69608,56594,65277,55096,70469,85484,75557,37198,65987,57730,56940,76299,64740,45790,55958,83288,58494,56139,78295,46314,101006,37010,135987,58902,67389,,,,,
130.0266_0.83,2558642,2133129,1904381,3814384,1827662,2762555,2301971,1141174,1724694,3016024,1855348,3063602,847729,1263192,2312996,471862,2149476,4944380,2616023,940145,543399,2913741,3289240,2746007,1472103,1171263,2994694,3174779,1510182,3566037,2995737,2804979,1401174,2041173,2287789,1020827,547754,2061647,3410797,2205154,1952086,2072469,1160338,1357280,501666,2759554,800525,862662,2521731,3557452,1901988,1276859,2827047,3183631,1678404,1153639,2734277,1730039,1990868,3416003,1506873,2657123,3974566,2874612,1753079,1636380,3078287,2735120,3043386,2364898,4714063,1726564,4173216,,,,,
130.0619_1.38,134292,177591,151970,210715,135858,233928,162500,106364,146624,180750,140536,248786,138917,109838,133668,115297,220672,121078,174258,161298,234338,111591,198260,183626,240788,198565,216251,133217,166332,181288,218357,184567,163717,152633,205464,229973,170656,177770,137393,192200,139562,197894,173441,166822,116850,138937,157836,159111,145399,202405,152501,110990,252203,153769,90706,120500,186590,151919,187004,184054,167809,163541,199850,109066,167702,164473,170627,166368,79689,180837,139905,142517,146357,,,,,
133.0526_1.06,43943,287619,56271,118144,249149,37591,145794,100340,97221,88716,50843,268783,199354,46829,21402,65049,126356,97871,144711,69585,144955,76403,51059,150734,42408,108939,101238,144196,56166,460309,300681,78839,187358,161638,126036,116603,61855,259125,11545,473331,46560,26225,180009,85220,147562,164082,75007,302095,129216,273851,39513,137337,14152,127411,41916,138261,24089,59384,40278,63582,48125,55607,334707,304475,127498,33189,508060,78839,2896,24590,7993,91859,92011,,,,,
134.0722_4.05,12783,6941,7032,48343,11328,64880,40333,15779,838,8726,19941,1780,2865,531,18718,5029,4388,5483,4370,19923,824,19570,81080,4080,18149,262,827,739,5262,6334,49261,620,316,5311,1497,760,3755,32477,82950,21702,8433,767363,1625,1646,35111,89383,85683,946,15599,16949,10512,1112,50057,8774,163317,14634,14164,46084,2622,409451,1345,17734,24999,3633,11987,240,664,33312,408719,6820,4959,25876,1548,,,,,
135.0684_1.06,14927,96857,15337,35881,87620,12924,55428,24803,30409,29117,14254,92818,70454,16126,7747,22398,41493,28697,42682,22591,40218,25427,15101,52039,14873,37748,36395,43471,18195,163216,94162,22166,66101,53418,42535,39900,19551,88719,3342,168570,12514,9705,58537,22670,48635,58315,24575,99344,12065,93693,12834,47186,5765,47329,15813,45718,8649,22293,11421,25842,16858,6424,80446,109181,46851,9357,178641,26638,701,8888,2707,30606,23898,,,,,
146.0684_1.03,16707,26257,35333,27847,12933,17326,35873,33721,9677,22383,17669,25823,30093,22972,15018,23036,16649,23578,29693,31760,83293,23207,15022,24996,28708,37199,12927,32152,33329,18579,18796,44913,39581,27296,50852,36981,26582,52579,18695,38417,25091,21235,20995,25297,25083,20894,28502,25156,16022,45920,44656,26954,20362,27688,21797,20351,17888,40017,25276,52239,66396,18360,72258,23256,30457,31210,35008,51058,8214,33995,8615,34712,22116,,,,,
146.0691_0.67,98479,111256,120626,104575,149901,130495,147547,164110,142468,118539,115837,141927,149223,111123,122069,216196,138866,97668,140015,153604,223206,114202,128771,145661,146473,157841,102481,115789,145703,118014,115154,108665,120026,145053,127551,153818,208467,152539,129706,117927,149166,117970,184503,171986,183568,134260,170787,153455,115966,118203,149482,135633,127539,129435,133129,130505,165211,161807,125266,112365,122609,121745,79343,133366,153579,142570,137566,124619,103695,113024,118230,102691,107145,,,,,
148.9459_0.9,121953,118421,134438,134569,135987,132250,137338,104517,151810,143447,121255,131130,89853,114500,140071,64215,121911,148887,134264,101816,70120,152419,132168,120179,120549,104381,143605,144534,122672,143669,142371,122812,123870,136439,138744,106779,61013,127132,141638,126272,136565,137013,98362,112189,71697,122145,82570,96656,153487,140134,123951,108048,134261,142691,152860,125725,149935,137857,134028,155308,121190,129004,152032,137267,117161,130177,145021,151393,144881,147530,128075,120069,141359,,,,,
152.1199_7.1,47652,50309,27405,26877,23626,75173,62631,34354,40514,75766,57531,75195,23745,24137,16732,19712,18840,60242,42359,50302,28010,21986,57731,8480,81452,62462,18236,34224,32375,29417,37928,31889,41183,51464,70884,18193,46011,45318,81118,16135,26293,23183,87654,7770,63361,21402,67734,22895,9160,33215,41552,12433,33743,22211,23024,8750,36000,27980,13337,12688,38609,17462,16176,23219,51478,16120,32973,21947,38225,44472,13671,36142,56654,,,,,
155.0697_0.58,38551,37267,40207,42981,43448,46672,42825,48074,37690,42404,43960,44534,50726,45049,39326,48317,43511,31560,35038,45992,59356,39199,38406,46718,47934,57368,33032,43241,44259,52402,43274,45963,51325,36725,43864,45002,68162,44111,42347,47869,47477,42678,49952,52736,50484,41946,55355,47987,43489,42100,45714,37788,43421,42730,32355,35626,51652,35457,42711,32565,44119,41880,38295,41920,48531,52444,41304,31117,30069,29911,38009,37371,40988,,,,,
155.9811_0.56,209110,186923,226420,230473,248811,207564,228622,253185,248081,222605,233011,227046,254894,245944,261793,239877,244810,238502,257150,247430,272509,224080,210791,241890,258930,278380,248757,249883,278910,239674,252345,220585,263435,254228,267035,244192,285790,260189,235605,233623,249464,275774,283613,276684,284830,225076,256500,249714,200447,214870,267399,201443,224879,246072,293272,243867,261069,268024,267536,237982,270864,234244,237520,235367,235528,328401,228285,220734,220224,238470,237986,226697,195598,,,,,
159.0683_1.19,29574,51994,33798,36920,27953,113087,31231,30673,38209,33740,31160,40873,15034,21628,31972,30073,33546,30623,37806,36582,42048,29021,48855,30791,54146,42414,30674,30260,28601,72746,58371,38381,22650,27882,48569,31472,31625,23390,24355,39076,26393,54120,53546,43480,40347,21230,53830,38147,20564,43684,35045,32683,25603,43970,17178,29160,50383,27821,34807,35255,31586,22614,33961,38350,64981,22809,67388,80688,14391,40973,49669,25327,21468,,,,,
159.9856_0.56,270186,193160,169265,229572,138274,224531,160377,105238,153758,287800,165519,283943,99541,151576,202218,116656,145804,261670,208527,158610,188901,206236,284245,223297,192861,187713,231773,211303,212614,270353,278426,257204,164359,175038,255040,171452,109916,192318,265951,197414,136506,191203,178797,176149,121865,273305,132424,133682,189989,229073,168412,116801,237043,237397,111821,123304,221862,207887,175977,229467,183326,240767,235860,225619,172964,155627,194644,220580,193770,213992,302585,199922,260972,,,,,
161.8492_1.12,2455493,2317739,2012888,1366207,2178562,2319054,1924761,2257250,1811885,2139670,1931662,1674046,2250826,2278986,2200653,2306125,2100485,1548544,1975524,2302150,2222655,1892147,1977730,1910325,2048178,2203456,1917672,2106241,2095813,1725335,2188373,2342127,2308381,1752813,2090636,2368259,2600067,1805279,1736782,1675493,1869813,1921458,2429633,2196275,2460948,2163841,2380963,2456790,1957805,1658691,2117512,2002408,1799512,1938179,1964269,1929689,1831383,1754445,1986866,1951548,2313624,1996649,1580170,1969050,2221951,1952900,1949559,1546773,1858489,1567497,1881680,1891101,1958070,,,,,
161.8495_0.8,2148517,2216184,2670378,1599031,2525531,2163859,2414948,2800342,2514215,2172743,2463523,1767655,2867745,2829935,2246933,3184446,2153309,1492554,2446273,2880639,3331898,2248019,1872961,1721476,2634532,2876247,2253556,2127677,2676565,2047872,2357211,1923454,2815980,2219060,2638724,2954869,3276810,2380407,1867131,2199182,2596024,2321179,2671066,2894991,3332677,1791266,2922653,3311894,2348383,1819312,2425427,2699572,2151651,2108974,2500286,2573942,2230040,2411845,2504349,2082270,2663584,2202973,1830050,2084565,2459028,2399874,2333638,2300092,2018650,2214520,1608675,2464741,1645376,,,,,
165.079_1.02,30698,31664,31091,28175,20539,22455,25222,24952,29101,33682,35011,24575,26961,28245,20950,31854,25581,25549,22350,34075,45369,27213,26219,18141,31118,36404,33023,32129,33485,28188,36902,24017,30950,21121,36581,34306,35001,29908,23788,24858,30640,29590,41587,44050,30795,23807,25797,30487,22291,28925,25186,22462,27244,25721,21663,23747,24900,23630,31176,20934,25401,18642,32148,17855,20137,26192,27038,24968,14535,25154,28153,24482,26160,,,,,
167.9567_0.77,366095,325178,367761,481186,345588,517108,408182,258862,246674,471445,273802,533028,144256,220169,513525,88188,440659,574755,466832,179088,109814,486955,490276,520215,280743,250635,507355,626551,258325,624550,516631,552690,224702,377044,391081,164553,127211,407204,585087,401924,345898,427774,265846,257757,103996,572877,182638,149763,514882,527748,404088,251508,468451,574357,238442,178313,477133,325532,372645,568297,301097,541730,501730,617478,426358,319703,547268,470670,531239,388314,793875,247255,681687,,,,,
168.0284_0.69,439634,716086,565109,352930,425910,605731,653160,905059,467919,458904,510688,775695,505510,452840,437847,532792,554661,426707,603229,437562,1006927,498919,712168,441378,1040545,853438,319500,522111,519406,715245,866572,560029,471436,453600,509507,482821,1213334,758215,429514,781084,534289,940960,910288,698376,1057285,408093,895502,542829,320001,411180,743023,474009,450413,404995,613624,346106,791626,497227,751536,395022,1006122,481204,439670,422014,688140,724198,501644,369734,367995,652681,413389,467985,260855,,,,,
169.856_1.13,35479,39854,57439,24962,57918,42964,49777,73675,54881,45985,56250,43795,74042,77880,62429,82901,56389,23873,55147,93966,86737,48480,33894,47018,65230,66902,46013,53287,70585,40031,62824,50883,74224,44983,59953,74938,120457,52179,41486,39719,63922,53347,97564,70357,97602,40494,75523,109878,58845,33059,60633,57437,45075,51121,57909,68870,46278,51268,52890,50202,69985,54916,22317,50447,69272,65868,48373,39710,45880,41148,35904,60161,33304,,,,,
170.0558_1.03,44603,28888,27832,22423,21710,66673,20957,20707,38212,42244,31371,25973,98199,23008,23064,26335,27708,25684,28380,24485,55467,21664,35103,28357,37975,35474,31058,33367,35727,25663,43277,27547,22179,13594,37773,40024,21428,20889,34874,17951,24586,26541,32869,24273,30181,24029,28993,46922,24850,27979,24783,33297,28968,30015,38563,12552,25067,20580,30492,28911,25999,23047,26087,41534,25097,28616,39947,24956,49929,14518,74594,30110,32239,,,,,
174.016_0.83,421188,365777,336036,675945,334398,476843,404935,198383,306164,519257,331277,553871,154770,223583,384248,75160,383381,828869,467196,171679,90126,484174,571549,462964,263493,226055,519367,515617,276729,602788,518627,473174,252377,368154,386667,189061,94098,356105,580235,377451,329443,369849,195587,249364,82910,463980,128584,152696,432088,598287,332287,229592,479780,525415,280453,219886,477541,316785,350349,577530,253022,452480,672626,494014,313250,302983,521372,480333,510939,415097,751282,318627,694415,,,,,
175.9635_0.56,277677,226277,149200,322506,90029,321506,143682,36363,77591,294141,95572,322832,70273,63012,318978,16892,92497,693478,307194,35545,131959,333237,775923,443803,100356,120999,710503,268095,123367,434952,472441,653582,97248,254163,297474,111689,10976,93120,492040,164052,93919,101741,34283,66634,32867,642559,39528,33395,292232,408652,56229,39343,267776,256526,55491,42190,226582,375550,134680,474771,133971,281938,353728,333914,143469,71755,225374,325272,357563,327242,716304,137727,771667,,,,,
