 MASS_RT,2,5,8,12,15,19,21,23,25,27,28,30,32,33,34,35,36,39,40,42,43,44,46,47,48,49,50,53,54,56,57,60,62,64,65,67,68,70,71,C12A,C15B,C19B,C21B,C23A,C25B,C27A,C28A,C2A,C30B,C32B,C33A,C34B,C35B,C36A,C39A,C40B,C42A,C43A,C44B,C46B,C47A,C48A,C49A,C50B,C53A,C54A,C56B,C57A,C5A,C60A,C62B,C64B,C65A,C67B,C68A,C70A,C71B,C8A
Factors,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147.9682_8.72,586049.03,757843.3,844506.4,558183.84,570096.78,754735.99,511136.64,601435.49,515137.59,581206.98,524294.06,535900.63,705314.61,588205.15,452417.37,531696.12,522641.71,629086.78,447837.42,820145.1,498580.05,592840.83,587577.54,890307.34,481302.57,602492.91,477464.59,549280.93,536310.37,572814.76,584338.33,530214.67,484919.25,639844.38,609351.3,531046.99,514778.85,429657.89,640595.13,591059.03,639523.64,960202.11,731767.4,699614.1,704275.04,692488.74,743032.54,802265.42,732230.49,802444,766972.13,568330.01,863121.86,1087200.93,594401.81,657884.06,585935.47,935329.01,771588.64,659927.77,765886.05,655541.36,838353.62,710993.08,707394.65,699044.37,714424.42,736130.8,663162.07,813734.36,880205.65,719809.58,624117.02,664690.56,708560.77,612232.65,779738.7,554520.15
166.0142_8.72,505179.95,618582.35,675289.55,502992.53,627586.83,667449.02,473189.08,559806.71,390495.87,413243.18,337956.34,424920.58,702351.64,512393.78,398697.95,431178.06,465860.94,549948.63,379500.97,610083.19,442713.73,421212.79,510030.05,667469.65,454998.94,491127.3,450198.71,600315.16,493971.08,491236.64,469843.3,454845.54,431722.69,756495.56,687822.94,452910.73,478101.48,406448.7,535100.95,546014.52,713019.88,682104.64,547509.1,529586.71,767687.95,409274.41,587938.68,634650.3,730113.82,658309.08,857406.75,510673,739728.75,725076.6,552294.78,607907.91,530193.73,575095.97,600292.53,580206.94,569317.49,563083.56,582254.99,582307.52,559882.33,503617.79,625065.79,569118.66,733800.32,658976.38,812664.15,493640.38,591445.72,584650.53,623628.73,478941.84,492690.51,502040.74
161.9859_8.72,467305.35,720134.09,673940.7,516508.61,512162.2,654831.4,476605.23,505042.09,490722.03,513000.73,429360.61,515362.43,536885.88,520686.16,467357.01,490965.56,412837.1,593462.34,468811.74,680555.54,487768.22,525939.84,507407.19,777767.91,461724.15,530486.24,480622.36,564900.55,505769.12,520353.79,543839.78,453515.12,456623.3,552704.27,537373.1,481193.38,472249.37,417510.58,549478.76,530188.89,543549.56,820748.77,573618.65,581587.84,583124.36,516737.07,585471.29,700835.52,668560.22,648564.45,570713.56,496207.62,688776.96,772816.46,525134.86,581467.98,502282.59,652376.88,634711.55,575998.59,677292.69,476729.22,756911.82,631699.93,567377.94,572152.26,575280.45,584779.7,622360.73,638753.42,618935.45,579410.08,482835,555665.96,540685.72,469124.11,576583.74,434844.34
155.0296_29.79,440307.19,388091.1,396963.83,399648.51,381459.19,394376.6,363081.44,363328.16,369254.22,314368.56,374311.89,365115.51,431876.12,407414.95,394115.11,411723.41,442934.26,393329.76,330648.95,355684.71,398697.43,302664.19,406412.64,395835.39,453524.66,411845.21,383828.38,406447.82,299918.98,266633.92,425147.27,369816.77,300360.44,360200.73,417183.86,414297.88,404528.71,370135.15,417255.54,330079.64,365828.5,323352.12,348531.25,335267.84,384555.55,367704.32,375464.79,356435.97,321050.19,432075.5,412174.85,320050.27,308695.01,430972.98,329257.38,306197.8,327413.7,380802.41,370102.32,313787.7,321425.41,384528.95,415886.78,347136.86,408456.03,324468.7,353500.22,401967.15,384589.34,293645.12,300710.39,265928.66,369175.47,266587.72,348411.91,315215.59,393738.91,308082.71
101.9634_8.73,1048889.83,1294540.46,1367189.7,1071302.8,1030219.7,1293371.47,947622.95,1178738.36,964944.2,1096260.86,888148.26,1053860.48,1207571.83,1082118.17,901418.69,990063.46,987498.75,1137631.72,953739.99,1411423.21,990396.94,1086535.76,1064987,1586028.6,974795.33,1043464.34,934851.54,938412,1099990.51,1046534.62,1015222.64,1013153.15,871458.88,1070221.27,1078776.53,1022959.8,841696.33,808347.43,1112079.55,984865.95,980536.67,1432093.68,1145816.9,1083781.62,1201221.01,1075754.09,1177643.9,1249947.72,1174438.36,1247061.55,1311172.19,865128.61,1356721.92,1783218.49,998645.98,1055149.54,958222.34,1427874.88,1203514.18,1125292.99,1260542.77,1112965.49,1342716.02,1188076.64,1111378.4,1098814.83,1145970.75,1152451.19,1143287.93,1322059.41,1371683.26,1098744.31,1095690.67,1087101.29,1142686.02,999341.1,1152832.93,954931.1
426.8992_8.73,18711.18,29189,23152.14,22902,36534.81,22091.24,24129,29164.05,20175.39,27968.27,18894.37,19393.48,32563.29,19959.88,17905.99,38841,18380.24,27617,32553.85,36622.52,23643.71,18112.51,29826.31,35569.01,28296.4,25152,22046.24,28823.62,24805.1,23915.95,31881,16363.98,36553.98,31769.94,25459.16,29766.11,23340,19995.73,21001,35576.33,30664.37,31690.04,22674.79,32539,32167.02,32620.62,18622,30477,31404.16,26389.15,29787.1,33979,30002.74,36078.92,31154.54,42750.05,33652.93,36953.84,25621,24832.94,34151.24,30029.99,35571.44,24879.06,30073.25,31539.98,28374.01,25613.92,24068.93,34653,35166.28,24717.38,19275.79,27727.71,31792,27420.74,18911.6,17229.03
133.9895_8.73,999637.35,1417821.24,1604415.57,1025157.75,1076608.07,1419209.01,909937.76,1110354.48,1025461.94,1227632.34,1002011.5,1168094.53,1301162.43,1123260.99,888427.95,1012717.25,997531.29,1259483.41,887706.16,1544618.67,1019683.23,1179438.43,1072431.1,1742339.7,937774.91,1090013.75,976189.37,1037250.58,1151224.29,1132624.97,1111306.57,1021188.78,846162.3,1246922.1,1204552.14,1038788.37,1017687.05,855945.15,1174085.25,1048950.97,1130422.71,1615851.18,1132606.83,1156379.87,1273160.33,1174592.86,1244289.79,1363314.81,1314786.67,1351763.73,1341664.71,929224.77,1446145.97,1708518.3,1061293.33,1164526.05,1021461.57,1459868.8,1296480.99,1091890.6,1411998.71,1019059.31,1540016.01,1244442.87,1172843.14,1165605.9,1200376.06,1217320.25,1165112.89,1372325.2,1410058.14,1191129.84,1155624.59,1128276.85,1165239.48,1025243.95,1288483.32,990098.58
137.0466_15.47,10098.38,110994.78,37720.33,34272.89,22267.93,84484.42,36184.75,63319.91,52602.78,38572.2,9119.76,6773.33,36137.97,47314.91,100196.46,6115.63,31724.44,53608.62,56484.37,32188.1,52159.29,62694.8,56925.11,107645.2,64635.86,202392.93,20519.08,62567.15,57335.03,38619.31,25077.27,5692.94,55015.78,38433.31,68065.72,74569.25,33512.82,51698.07,97578.65,40073.84,41892.51,74387.2,121820.47,103542.09,41574.2,46348.59,74777.65,33308.05,25047.58,42370.31,70819.4,25026.81,64891.86,262059.98,118147.39,114837.56,49100.03,39560.63,133428.25,156899.59,132123.69,45658.53,67656.87,73929.4,81724.3,88040.82,2105.47,27849.86,115079.22,230099.54,26545.74,367699.84,223761.6,129032.54,5691.9,99446.55,3034.32,11510.88
129.0783_15.15,173891.12,1057902.46,166500.09,74416.46,89292.79,76738.51,143120.51,147812.28,194345.19,84598.76,113700.13,72037.56,125454.46,180517.39,80889.31,54451.83,67217.85,134760.05,72588.01,83104.86,296152.94,258334.88,79782.08,131438.21,132598.23,91757.86,238272.46,93448.66,180408.73,86169.91,95541.78,99463.28,64609.53,126522.29,75198.79,66593.9,141650.47,145260.5,94603.4,109466.8,117341.94,83483.95,145240.58,182602.69,195571.45,1051048.68,283309.75,151772.34,88320.01,108031.88,77620.68,75563.14,85243.69,96766.9,231006.39,196869.87,411635.4,180700.03,232244.57,129997.62,186646.52,116049.46,527873.35,876261.56,1923444.55,197636.68,74864.07,163949.18,242086.57,1259703.17,151568.96,81612.65,94651.76,31195.11,570431.3,1018112.18,84737.61,44338.58
